Timestamp,Date,User_Group,VLAN,Source_IP,Application,Traffic_MB,Action,Connection_Type
2026-03-01 02:24:19,2026-03-01,IT,VLAN 20,10.1.20.12,DNS,15.47,Permit,Wi-Fi
2026-02-22 11:46:24,2026-02-22,IT,VLAN 20,10.1.20.24,HTTPS,459.27,Deny,Wi-Fi
2026-02-21 19:02:00,2026-02-21,Staff,VLAN 30,10.1.30.183,SSH,5.43,Permit,Wi-Fi
2026-03-11 11:37:09,2026-03-11,IT,VLAN 20,10.1.20.46,SSH,39.97,Permit,Wired
2026-03-08 14:36:42,2026-03-08,HR,VLAN 30,10.1.30.43,SSH,30.98,Permit,Wi-Fi
2026-03-06 01:28:51,2026-03-06,Guest,VLAN 40,10.1.40.124,HTTP,46.06,Deny,Wi-Fi
2026-02-27 10:19:46,2026-02-27,Finance,VLAN 30,10.1.30.74,SSH,6.58,Permit,Wi-Fi
2026-02-23 13:28:54,2026-02-23,IT,VLAN 20,10.1.20.19,HTTPS,791.81,Permit,Wi-Fi
2026-03-05 21:39:34,2026-03-05,Staff,VLAN 30,10.1.30.193,DNS,42.89,Deny,Wi-Fi
2026-02-28 09:14:13,2026-02-28,HR,VLAN 30,10.1.30.16,Radius,18.65,Deny,Wi-Fi
2026-03-01 10:45:53,2026-03-01,IT,VLAN 20,10.1.20.25,SMB,439.58,Permit,Wi-Fi
2026-03-07 20:06:11,2026-03-07,IT,VLAN 20,10.1.20.42,SSH,19.46,Deny,Wi-Fi
2026-02-15 04:53:38,2026-02-15,IT,VLAN 20,10.1.20.36,SSH,15.77,Deny,Wi-Fi
2026-03-10 18:34:57,2026-03-10,Guest,VLAN 40,10.1.40.197,Radius,19.1,Deny,Wi-Fi
2026-03-05 21:13:14,2026-03-05,Guest,VLAN 40,10.1.40.67,SMB,500.82,Deny,Wi-Fi
2026-02-22 09:41:16,2026-02-22,Staff,VLAN 30,10.1.30.152,Radius,35.83,Permit,Wired
2026-03-09 21:15:15,2026-03-09,Guest,VLAN 40,10.1.40.87,HTTP,19.44,Permit,Wi-Fi
2026-02-10 01:18:00,2026-02-10,Finance,VLAN 30,10.1.30.77,SMB,766.26,Deny,Wired
2026-02-17 08:34:25,2026-02-17,IT,VLAN 20,10.1.20.34,FTP,895.8,Permit,Wi-Fi
2026-02-17 08:45:50,2026-02-17,HR,VLAN 30,10.1.30.24,SSH,28.38,Permit,Wi-Fi
2026-02-12 22:54:43,2026-02-12,IT,VLAN 20,10.1.20.24,Active Directory,0.41,Deny,Wi-Fi
2026-02-10 13:20:40,2026-02-10,Guest,VLAN 40,10.1.40.145,HTTPS,952.1,Permit,Wi-Fi
2026-03-08 04:19:29,2026-03-08,Finance,VLAN 30,10.1.30.96,DNS,44.71,Deny,Wired
2026-02-17 14:41:41,2026-02-17,IT,VLAN 20,10.1.20.14,Radius,11.4,Permit,Wired
2026-02-16 05:12:43,2026-02-16,Staff,VLAN 30,10.1.30.145,Radius,8.75,Deny,Wi-Fi
2026-03-08 21:01:05,2026-03-08,Staff,VLAN 30,10.1.30.143,Active Directory,19.92,Permit,Wi-Fi
2026-03-06 14:08:22,2026-03-06,HR,VLAN 30,10.1.30.19,SMB,988.18,Permit,Wi-Fi
2026-02-20 07:36:53,2026-02-20,Guest,VLAN 40,10.1.40.147,SMB,727.93,Deny,Wi-Fi
2026-03-07 12:06:10,2026-03-07,Staff,VLAN 30,10.1.30.190,DNS,36.02,Deny,Wi-Fi
2026-02-25 12:51:46,2026-02-25,Finance,VLAN 30,10.1.30.89,SSH,41.07,Deny,Wired
2026-03-06 14:18:32,2026-03-06,HR,VLAN 30,10.1.30.38,HTTPS,894.8,Permit,Wi-Fi
2026-02-15 05:23:36,2026-02-15,HR,VLAN 30,10.1.30.47,HTTP,45.79,Deny,Wired
2026-03-10 04:50:36,2026-03-10,HR,VLAN 30,10.1.30.31,FTP,502.89,Deny,Wi-Fi
2026-03-01 18:31:38,2026-03-01,Finance,VLAN 30,10.1.30.96,SSH,11.17,Permit,Wired
2026-03-07 13:09:54,2026-03-07,Staff,VLAN 30,10.1.30.168,FTP,812.0,Permit,Wi-Fi
2026-02-13 10:14:41,2026-02-13,HR,VLAN 30,10.1.30.38,FTP,44.93,Permit,Wi-Fi
2026-02-15 22:12:32,2026-02-15,Finance,VLAN 30,10.1.30.51,FTP,557.21,Permit,Wired
2026-02-13 22:24:55,2026-02-13,IT,VLAN 20,10.1.20.36,Active Directory,47.64,Permit,Wi-Fi
2026-03-07 15:11:49,2026-03-07,Guest,VLAN 40,10.1.40.199,SSH,47.97,Deny,Wi-Fi
2026-03-06 07:57:54,2026-03-06,Staff,VLAN 30,10.1.30.104,DNS,22.43,Deny,Wi-Fi
2026-03-08 07:55:11,2026-03-08,Guest,VLAN 40,10.1.40.139,FTP,329.42,Deny,Wi-Fi
2026-02-28 16:56:58,2026-02-28,Finance,VLAN 30,10.1.30.75,SSH,47.96,Deny,Wi-Fi
2026-03-10 22:19:30,2026-03-10,HR,VLAN 30,10.1.30.38,SMB,465.96,Permit,Wi-Fi
2026-03-10 14:38:58,2026-03-10,HR,VLAN 30,10.1.30.39,SMB,18.4,Permit,Wired
2026-02-24 02:51:02,2026-02-24,Finance,VLAN 30,10.1.30.61,SMB,191.12,Permit,Wi-Fi
2026-03-05 00:47:51,2026-03-05,Finance,VLAN 30,10.1.30.73,FTP,559.2,Permit,Wired
2026-02-18 23:43:15,2026-02-18,HR,VLAN 30,10.1.30.35,Radius,16.39,Permit,Wired
2026-02-14 01:53:09,2026-02-14,HR,VLAN 30,10.1.30.27,SMB,941.26,Deny,Wi-Fi
2026-03-02 07:36:31,2026-03-02,Guest,VLAN 40,10.1.40.19,HTTP,14.93,Deny,Wi-Fi
2026-02-13 22:32:08,2026-02-13,Staff,VLAN 30,10.1.30.150,HTTPS,565.78,Permit,Wired
2026-03-07 21:17:57,2026-03-07,Guest,VLAN 40,10.1.40.72,FTP,758.52,Deny,Wi-Fi
2026-03-11 05:02:43,2026-03-11,Finance,VLAN 30,10.1.30.64,FTP,25.1,Permit,Wired
2026-03-02 17:29:35,2026-03-02,Finance,VLAN 30,10.1.30.99,Active Directory,49.24,Permit,Wi-Fi
2026-03-04 07:22:15,2026-03-04,HR,VLAN 30,10.1.30.19,Radius,16.88,Deny,Wi-Fi
2026-02-13 11:40:48,2026-02-13,IT,VLAN 20,10.1.20.33,HTTPS,112.99,Permit,Wired
2026-03-02 04:52:23,2026-03-02,Finance,VLAN 30,10.1.30.63,SMB,21.61,Permit,Wi-Fi
2026-03-08 21:37:46,2026-03-08,Finance,VLAN 30,10.1.30.91,Active Directory,5.25,Permit,Wired
2026-02-18 06:48:11,2026-02-18,Staff,VLAN 30,10.1.30.147,SMB,419.53,Permit,Wired
2026-02-20 03:58:33,2026-02-20,Staff,VLAN 30,10.1.30.121,Active Directory,38.36,Permit,Wi-Fi
2026-02-10 17:15:51,2026-02-10,Finance,VLAN 30,10.1.30.75,Radius,14.62,Permit,Wired
2026-02-23 07:04:34,2026-02-23,IT,VLAN 20,10.1.20.39,FTP,765.43,Permit,Wi-Fi
2026-02-12 15:14:18,2026-02-12,Finance,VLAN 30,10.1.30.58,SSH,30.9,Deny,Wired
2026-02-21 19:45:19,2026-02-21,IT,VLAN 20,10.1.20.49,SMB,739.99,Permit,Wired
2026-03-07 07:53:01,2026-03-07,Finance,VLAN 30,10.1.30.65,HTTPS,131.66,Deny,Wi-Fi
2026-02-26 09:07:01,2026-02-26,HR,VLAN 30,10.1.30.22,FTP,143.91,Permit,Wired
2026-02-24 21:27:06,2026-02-24,Staff,VLAN 30,10.1.30.176,SSH,4.7,Deny,Wired
2026-03-11 09:19:01,2026-03-11,Staff,VLAN 30,10.1.30.121,DNS,0.65,Permit,Wired
2026-02-13 21:34:45,2026-02-13,IT,VLAN 20,10.1.20.16,DNS,19.03,Permit,Wi-Fi
2026-02-19 12:32:39,2026-02-19,Finance,VLAN 30,10.1.30.95,SMB,188.99,Permit,Wi-Fi
2026-03-08 22:44:01,2026-03-08,Guest,VLAN 40,10.1.40.64,Active Directory,18.26,Deny,Wi-Fi
2026-02-12 09:11:47,2026-02-12,IT,VLAN 20,10.1.20.17,DNS,7.13,Permit,Wi-Fi
2026-02-22 03:41:45,2026-02-22,Finance,VLAN 30,10.1.30.89,SMB,509.18,Deny,Wired
2026-03-03 11:19:17,2026-03-03,Finance,VLAN 30,10.1.30.90,Active Directory,9.47,Permit,Wired
2026-02-23 22:01:09,2026-02-23,Finance,VLAN 30,10.1.30.95,DNS,17.92,Permit,Wired
2026-03-06 14:47:26,2026-03-06,HR,VLAN 30,10.1.30.35,SMB,185.43,Permit,Wi-Fi
2026-02-12 22:18:30,2026-02-12,Finance,VLAN 30,10.1.30.68,FTP,409.75,Permit,Wired
2026-03-04 17:41:39,2026-03-04,Staff,VLAN 30,10.1.30.111,DNS,30.98,Permit,Wi-Fi
2026-02-19 12:24:57,2026-02-19,HR,VLAN 30,10.1.30.15,Active Directory,49.27,Deny,Wired
2026-02-22 23:10:08,2026-02-22,Guest,VLAN 40,10.1.40.59,FTP,643.65,Deny,Wi-Fi
2026-03-02 06:03:23,2026-03-02,IT,VLAN 20,10.1.20.22,HTTPS,300.97,Permit,Wired
2026-03-05 20:37:13,2026-03-05,IT,VLAN 20,10.1.20.45,SMB,496.14,Permit,Wired
2026-02-10 10:25:32,2026-02-10,Guest,VLAN 40,10.1.40.196,SSH,31.62,Deny,Wi-Fi
2026-02-24 22:08:11,2026-02-24,HR,VLAN 30,10.1.30.39,DNS,27.91,Deny,Wi-Fi
2026-02-10 16:58:55,2026-02-10,Finance,VLAN 30,10.1.30.63,HTTPS,834.84,Deny,Wi-Fi
2026-03-05 14:56:50,2026-03-05,Guest,VLAN 40,10.1.40.164,DNS,8.45,Permit,Wi-Fi
2026-03-10 21:18:36,2026-03-10,Guest,VLAN 40,10.1.40.184,Active Directory,13.67,Deny,Wi-Fi
2026-02-16 14:18:04,2026-02-16,HR,VLAN 30,10.1.30.25,Radius,14.37,Permit,Wi-Fi
2026-02-17 00:20:18,2026-02-17,Guest,VLAN 40,10.1.40.145,FTP,592.54,Deny,Wi-Fi
2026-02-18 18:00:31,2026-02-18,Finance,VLAN 30,10.1.30.99,SMB,680.38,Deny,Wired
2026-02-28 20:07:28,2026-02-28,IT,VLAN 20,10.1.20.21,SMB,856.71,Permit,Wired
2026-02-18 06:24:01,2026-02-18,Staff,VLAN 30,10.1.30.130,SMB,226.0,Permit,Wi-Fi
2026-02-28 06:09:29,2026-02-28,IT,VLAN 20,10.1.20.26,HTTP,48.62,Permit,Wi-Fi
2026-03-08 22:28:01,2026-03-08,Finance,VLAN 30,10.1.30.94,HTTP,39.2,Deny,Wi-Fi
2026-02-15 06:52:41,2026-02-15,Finance,VLAN 30,10.1.30.58,SMB,720.57,Permit,Wired
2026-02-17 13:08:48,2026-02-17,IT,VLAN 20,10.1.20.11,Active Directory,36.08,Deny,Wi-Fi
2026-03-08 14:15:14,2026-03-08,HR,VLAN 30,10.1.30.44,HTTPS,137.61,Permit,Wired
2026-02-23 08:55:58,2026-02-23,HR,VLAN 30,10.1.30.31,HTTPS,513.45,Permit,Wi-Fi
2026-03-09 12:43:50,2026-03-09,IT,VLAN 20,10.1.20.38,SMB,494.28,Permit,Wired
2026-03-09 23:14:05,2026-03-09,Finance,VLAN 30,10.1.30.96,HTTPS,238.14,Permit,Wired
2026-03-02 08:25:08,2026-03-02,Finance,VLAN 30,10.1.30.72,HTTP,13.08,Permit,Wired
2026-02-21 11:00:05,2026-02-21,Staff,VLAN 30,10.1.30.194,Radius,15.89,Permit,Wired
2026-03-01 00:57:42,2026-03-01,IT,VLAN 20,10.1.20.34,Active Directory,36.52,Permit,Wi-Fi
2026-02-15 15:17:33,2026-02-15,Finance,VLAN 30,10.1.30.77,HTTPS,555.08,Permit,Wi-Fi
2026-02-19 14:27:12,2026-02-19,Finance,VLAN 30,10.1.30.88,HTTP,44.24,Deny,Wi-Fi
2026-02-28 11:04:58,2026-02-28,IT,VLAN 20,10.1.20.18,SMB,995.78,Permit,Wired
2026-03-06 22:09:46,2026-03-06,Guest,VLAN 40,10.1.40.179,SMB,516.22,Deny,Wi-Fi
2026-03-09 18:57:56,2026-03-09,Staff,VLAN 30,10.1.30.147,Active Directory,25.17,Deny,Wired
2026-02-09 23:46:20,2026-02-09,Staff,VLAN 30,10.1.30.162,Radius,24.15,Deny,Wi-Fi
2026-02-20 22:36:06,2026-02-20,HR,VLAN 30,10.1.30.41,Radius,23.18,Permit,Wired
2026-02-10 01:05:31,2026-02-10,IT,VLAN 20,10.1.20.49,Active Directory,45.69,Permit,Wired
2026-02-24 23:58:41,2026-02-24,Guest,VLAN 40,10.1.40.14,SSH,8.37,Deny,Wi-Fi
2026-03-07 00:18:42,2026-03-07,IT,VLAN 20,10.1.20.15,Active Directory,10.62,Deny,Wi-Fi
2026-02-15 13:16:48,2026-02-15,Guest,VLAN 40,10.1.40.107,Active Directory,1.89,Deny,Wi-Fi
2026-02-14 04:47:04,2026-02-14,Staff,VLAN 30,10.1.30.182,Radius,48.17,Deny,Wired
2026-02-26 09:49:22,2026-02-26,Staff,VLAN 30,10.1.30.136,HTTPS,886.68,Permit,Wi-Fi
2026-02-15 19:51:54,2026-02-15,IT,VLAN 20,10.1.20.30,SSH,38.5,Permit,Wired
2026-02-23 23:36:34,2026-02-23,Finance,VLAN 30,10.1.30.76,DNS,18.7,Permit,Wi-Fi
2026-02-21 16:42:49,2026-02-21,Guest,VLAN 40,10.1.40.14,SMB,299.61,Deny,Wi-Fi
2026-03-01 00:59:58,2026-03-01,Guest,VLAN 40,10.1.40.88,SSH,14.89,Deny,Wi-Fi
2026-02-27 02:32:03,2026-02-27,HR,VLAN 30,10.1.30.48,DNS,48.87,Permit,Wi-Fi
2026-03-06 09:02:31,2026-03-06,IT,VLAN 20,10.1.20.15,SSH,2.43,Permit,Wi-Fi
2026-02-18 01:50:58,2026-02-18,Staff,VLAN 30,10.1.30.144,HTTPS,313.79,Deny,Wired
2026-03-03 19:13:04,2026-03-03,IT,VLAN 20,10.1.20.13,SMB,919.96,Permit,Wi-Fi
2026-02-22 22:29:54,2026-02-22,Finance,VLAN 30,10.1.30.97,DNS,9.76,Permit,Wired
2026-02-25 12:53:29,2026-02-25,IT,VLAN 20,10.1.20.19,SSH,44.03,Deny,Wi-Fi
2026-02-23 01:00:41,2026-02-23,IT,VLAN 20,10.1.20.29,Radius,44.38,Permit,Wired
2026-02-20 09:19:02,2026-02-20,Staff,VLAN 30,10.1.30.178,HTTPS,370.16,Permit,Wi-Fi
2026-03-01 18:00:25,2026-03-01,Finance,VLAN 30,10.1.30.75,SMB,849.72,Permit,Wi-Fi
2026-03-06 11:07:03,2026-03-06,Guest,VLAN 40,10.1.40.43,SMB,21.79,Deny,Wi-Fi
2026-02-20 21:18:25,2026-02-20,Finance,VLAN 30,10.1.30.95,SSH,25.54,Permit,Wi-Fi
2026-02-25 02:29:35,2026-02-25,Staff,VLAN 30,10.1.30.140,FTP,329.87,Permit,Wired
